TBET ,11,3,2,7,5,12,1,,,
IFNG ,11,3,2,13,10,7,5,12,1,9
GATA3 ,11,3,2,4,7,5,1,9,,
IL2 ,8,2,10,4,7,14,,,,
IL4 ,3,2,4,7,5,15,1,,,
RORGT ,11,8,3,7,1,9,,,,
IL21 ,11,2,10,4,7,16,5,12,6,
FOXP3 ,8,4,7,6,9,,,,,
TGFB ,8,7,9,17,,,,,,
IL10 ,3,2,10,18,7,9,,,,
BCL6 ,4,7,1,9,,,,,,
IL9 ,2,10,4,7,5,9,,,,
IFNGe,,,,,,,,,,
IL2e,,,,,,,,,,
IL4e,,,,,,,,,,
IL21e,,,,,,,,,,
TGFBe,,,,,,,,,,
IL10e,,,,,,,,,,
