Akt1,14,12,10,9,8
CDK2,17,16,6,,
CDK4,17,16,5,,
CDK6,5,,,,
cMYC,15,7,1,,
CycD1,4,15,7,1,
CycE1,4,,,,
ERa,15,1,,,
ErbB1,19,,,,
ErbB1_2,11,8,,,
ErbB1_3,13,8,,,
ErbB2,19,,,,
ErbB2_3,13,11,,,
ErbB3,19,,,,
IGF1R,12,7,1,,
MEK1,14,12,10,9,8
p21,4,7,3,1,
p27,4,7,3,2,1
pRB,3,3,2,,
EGF,,,,,
