TBET ,1,12,5,7,2,3,11,,,
IFNG ,9,1,12,5,7,10,13,2,3,11
GATA3 ,9,1,5,7,4,2,3,11,,
IL2 ,14,7,4,10,2,8,,,,
IL4 ,1,15,5,7,4,2,3,,,
RORGT ,9,1,7,3,8,11,,,,
IL21 ,6,12,5,16,7,4,10,2,11,
FOXP3 ,9,6,7,4,8,,,,,
TGFB ,17,9,7,8,,,,,,
IL10 ,9,7,18,10,2,3,,,,
BCL6 ,9,1,7,4,,,,,,
IL9 ,9,5,7,4,10,2,,,,
IFNGe,,,,,,,,,,
IL2e,,,,,,,,,,
IL4e,,,,,,,,,,
IL21e,,,,,,,,,,
TGFBe,,,,,,,,,,
IL10e,,,,,,,,,,
